song,artist
Margaritaville,Jimmy Buffett
Come Monday,Jimmy Buffett
Rich Men North of Richmond,Oliver Anthony Music
Cheeseburger In Paradise,Jimmy Buffett
All Star,Smash Mouth
"Changes In Latitudes, Changes In Attitudes",Jimmy Buffett
Paint The Town Red,Doja Cat
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
A Pirate Looks at Forty,Jimmy Buffett
It's Five O'Clock Somewhere (Live),Jimmy Buffett
Fast Car,Luke Combs
Lil Boo Thang,Paul Russell
Last Time I Saw You,Nicki Minaj
Son of a Son of a Sailor,Jimmy Buffett
Used To Be Young,Miley Cyrus
Cruel Summer,Taylor Swift
Last Night,Morgan Wallen
I Want to go Home,Oliver Anthony Music
Dream Weaver,Gary Wright
Try That In A Small Town,Jason Aldean
Need A Favor,Jelly Roll
Dance The Night,Dua Lipa
Fins,Jimmy Buffett
Walkin' On the Sun,Smash Mouth
White Horse,Chris Stapleton
Watermelon Moonshine,Lainey Wilson
90 some Chevy,Oliver Anthony Music
I'm a Believer,Smash Mouth
Walkin' on the Sun,Smash Mouth
Southern Cross (Live),Jimmy Buffett
It's Five O'Clock Somewhere (with Jimmy Buffett),Alan Jackson
Thinkin’ Bout Me,Morgan Wallen
All Star,Smash Mouth
Save Me (with Lainey Wilson),Jelly Roll
Why Don't We Get Drunk,Jimmy Buffett
Rockstar,Nickelback
Flowers,Miley Cyrus
Aint Gotta Dollar,Oliver Anthony Music
Love Is Alive,Gary Wright
Brown Eyed Girl (Live),Jimmy Buffett
Religiously,Bailey Zimmerman
Dreams,Fleetwood Mac
Walkin' On the Sun,Smash Mouth
Volcano,Jimmy Buffett
Calm Down,Rema & Selena Gomez
Indiana Jones,Wayland
Let My Heart Stop Missing Now,Radiant Melodies
Used To Be Young,Miley Cyrus
Keep Going Up,"Timbaland, Nelly Furtado & Justin Timberlake"
Lose Control,Teddy Swims
vampire,Olivia Rodrigo
A Symptom Of Being Human,Shinedown
Latinos For Trump,Trump Latinos
Trip Around the Sun,Jimmy Buffett & Martina McBride
Southern Cross,"Crosby, Stills & Nash"
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
How You Remind Me,Nickelback
Have You Ever Seen the Rain,Creedence Clearwater Revival
Beat You There,Will Dempsey
"Suddenly, One Day, There Is a Pink Love That Brings Good News",Vy Napi
The One Who Brought the Dreams Away,Radiant Melodies
Son Of A Sinner,Jelly Roll
Far Away,Nickelback
He Went to Paris,Jimmy Buffett
I'm a Believer (Radio),Smash Mouth
Forever Young,Rod Stewart
Knee Deep (feat. Jimmy Buffett) [Greatest Hits Version],Zac Brown Band
Ive Got to Get Sober,Oliver Anthony Music
Love You Anyway,Luke Combs
Photograph,Nickelback
Single Soon,Selena Gomez
Brown Eyed Girl,Jimmy Buffett
Hard to Say I'm Sorry / Get Away,Chicago
Anti-Hero,Taylor Swift
TRUCK BED,HARDY
In Your Love,Tyler Childers
Bury Me in Georgia (Single Edit),Kane Brown
Come Monday,Jimmy Buffett
Enter Sandman,Metallica
Whiteboyz,Tom MacDonald & Adam Calhoun
Tennessee Whiskey,Chris Stapleton
You're the Inspiration,Chicago
Barbie World (with Aqua),Nicki Minaj & Ice Spice
Something in the Orange (Z&E's Version),Zach Bryan
Everything I Love,Morgan Wallen
One Particular Harbour,Jimmy Buffett
I'll Stand By You,Pretenders
We Didn’t Start The Fire,Fall Out Boy
Gypsy,Fleetwood Mac
Rhiannon,Fleetwood Mac
Daylight,David Kushner
Who Else Is Holding On To Anyone In the Afternoon?,Radiant Melodies
I Want To Go Home (live),Oliver Anthony Music
Thought You Should Know,Morgan Wallen
august,Taylor Swift
"Don't Keep It In Your Heart, There's Nothing Happy About It",Vy Napi
Spirit In the Sky,Norman Greenbaum
Snooze,SZA
Dial Drunk,Noah Kahan & Post Malone
bad idea right?,Olivia Rodrigo
Refrain,Lys Assia
Net als toen,Corry Brokken
"Dors, mon amour",André Claveau
'n Beetje,Teddy Scholten
Tom Pillibi,Jacqueline Boyer
Nous les amoureux,Chevalier de Villemont
Un premier amour,Isabelle Aubret
Dansevise,Grethe
Non ho l'età,Gigliola Cinquetti
"Poupée de cire, poupée de son",France Gall
"Merci, Chérie",Udo Jürgens
Puppet on a String,Sandie Shaw
"La, la, la",Massiel
Vivo cantando,Salomé
Boom Bang-a-Bang,Lulu
De troubadour,Lenny Kuhr
"Un jour, un enfant",Frida Boccara
All Kinds of Everything,Dana Rosemary Scallon
"Un banc, un arbre, une rue",Séverine
Après Toi,Vicky Leandros
Tu te reconnaîtras,Anne-Marie David
Waterloo,Benny Andersson
Ding-a-dong,Teach-In
Save Your Kisses for Me,Martin Lee
L'Oiseau et l'Enfant,Marie Myriam
A-Ba-Ni-Bi,Izhar Cohen
Hallelujah,Milk and Honey
What's Another Year,Johnny Logan
Making Your Mind Up,Bobby G
Ein bißchen Frieden,Nicole
Si la vie est cadeau,Corinne Hermès
Diggi-Loo Diggi-Ley,Herrey's
Let It Swing/La det swinge,Hanne Krogh
J'aime la vie,Sandra Kim
Hold Me Now,Johnny Logan
Ne partez pas sans moi,Celine Dion
Rock Me,Riva
Insieme: 1992,Toto Cutugno
Fångad av en stormvind,Carola Häggkvist
Why Me?,Linda Martin
In Your Eyes,Niamh Kavanagh
Rock 'n' Roll Kids,Paul Harrington
Nocturne,Fionnuala Sherry
The Voice,Eimear Quinn
Love Shine a Light,Katrina Leskanich
Diva,Dana International
Take Me to Your Heaven,Charlotte Nilsson
Fly on the Wings of Love,Olsen Brothers
Everybody,Tanel Padar
I Wanna,Marie N
Everyway That I Can,Sertab Erener
Wild Dances,Ruslana
My Number One,Helena Paparizou
Hard Rock Hallelujah,Lordi
Molitva,Marija Šerifović
Believe,Dima Bilan
Fairytale,Alexander Rybak
Satellite,Lena Meyer-Landrut
Running Scared,Eldar & Nigar
Euphoria,Loreen
Only Teardrops,Emmelie de Forest
Rise Like a Phoenix,Conchita Wurst
Heroes,Måns Zelmerlöw
1944,Jamala
Amar pelos dois,Salvador Sobral
Toy,Netta
Arcade,Duncan Laurence
Zitti e buoni,Måneskin
Stefania,Kalush Orchestra
Tattoo,Loreen
